product_id,product_name,category,brand,platform,baseline_price_90d,mrp_inflation_ratio,discount_permanence_score,pre_sale_spike,price_volatility,mrp_volatility,fraud_verdict
0,SG_Football_0,Sports,SG,amazon,3694.77,1.2532,0.6154,0.0,0.0169,0.0885,Genuine
1,Prestige_Mixer_1,Home,Prestige,amazon,683.555,1.1107,0.4722,0.0,0.024,0.4529,Genuine
2,Prestige_Cookware_2,Home,Prestige,amazon,653.26,2.1286,0.1579,0.0,0.0231,0.4354,Suspicious
3,Nivia_Football_3,Sports,Nivia,amazon,4050.04,1.4938,0.9474,0.0,0.0312,0.4598,Suspicious
4,LG_Smartphone_4,Electronics,LG,amazon,2599.71,1.1658,0.8485,0.0,0.0211,0.4851,Genuine
5,Prestige_Table_5,Home,Prestige,amazon,2865.215,4.5528,1.0,0.0,0.0387,0.3872,Fake
6,LG_Headphones_6,Electronics,LG,amazon,2861.21,1.6187,0.75,0.0,0.0309,0.1419,Genuine
7,Maybelline_Facewash_7,Beauty,Maybelline,amazon,966.05,1.098,0.4444,0.0,0.017,0.4869,Genuine
8,Puma_T-Shirt_8,Fashion,Puma,amazon,4018.9,1.2569,0.5769,0.0,0.0211,0.3696,Genuine
9,SG_Football_9,Sports,SG,amazon,722.6,1.5308,1.0,0.0,0.0664,0.4304,Suspicious
10,Lakme_Perfume_10,Beauty,Lakme,amazon,1651.09,1.2285,0.9677,0.0,0.0451,0.4399,Suspicious
11,Adidas_Jacket_11,Fashion,Adidas,amazon,2963.73,1.1328,0.4516,0.0,0.029,0.397,Genuine
12,Puma_Jeans_12,Fashion,Puma,amazon,4496.110000000001,2.1858,1.0,0.0,0.0265,0.2991,Suspicious
13,Adidas_Shoes_13,Fashion,Adidas,amazon,552.325,1.7954,1.0,0.0,0.0254,0.3565,Suspicious
14,Apple_Laptop_14,Electronics,Apple,amazon,2988.155,1.0942,0.1,0.0,0.0251,0.4663,Genuine
15,Nivia_Dumbbells_15,Sports,Nivia,amazon,368.82000000000005,1.3445,1.0,0.0,0.019,0.4152,Suspicious
16,Prestige_Cookware_16,Home,Prestige,amazon,3151.6000000000004,3.0173,1.0,0.0,0.0382,0.4333,Fake
17,Nivia_Dumbbells_17,Sports,Nivia,amazon,1470.085,1.019,0.1,0.0,0.026,0.3582,Genuine
18,Sony_Headphones_18,Electronics,Sony,amazon,3951.09,1.079,0.3478,0.0,0.0287,0.3275,Genuine
19,Puma_T-Shirt_19,Fashion,Puma,amazon,2172.3500000000004,1.659,1.0,0.0,0.0598,0.2895,Suspicious
20,Philips_Chair_20,Home,Philips,amazon,3933.96,1.1135,0.375,0.0,0.0289,0.467,Genuine
21,Prestige_Chair_21,Home,Prestige,amazon,785.71,2.2792,1.0,0.0,0.0212,0.3051,Fake
22,Puma_Jeans_22,Fashion,Puma,amazon,2661.61,1.223,0.1176,0.0,0.0193,0.5078,Suspicious
23,Lakme_Facewash_23,Beauty,Lakme,amazon,1445.4850000000001,1.2883,0.7368,0.0,0.0289,0.4286,Genuine
24,Puma_T-Shirt_24,Fashion,Puma,amazon,4343.33,1.2546,0.1613,0.0,0.027,0.355,Genuine
25,Lakme_Lipstick_25,Beauty,Lakme,amazon,3519.46,1.2496,0.8636,0.0,0.0668,0.4348,Suspicious
26,LG_Smartphone_26,Electronics,LG,amazon,656.59,1.1016,0.2609,0.0,0.0242,0.5837,Genuine
27,Samsung_Smartwatch_27,Electronics,Samsung,amazon,4474.06,1.2277,0.8205,0.0,0.0244,0.3713,Genuine
28,Nivia_Cricket Bat_28,Sports,Nivia,amazon,4549.07,1.1235,0.6774,0.0,0.0211,0.557,Suspicious
29,Nivia_Dumbbells_29,Sports,Nivia,amazon,4048.24,1.1764,0.5238,0.0,0.0321,0.3577,Genuine
30,Philips_Cookware_30,Home,Philips,amazon,523.35,1.196,0.64,0.0,0.032,0.2862,Genuine
31,LG_Smartwatch_31,Electronics,LG,amazon,932.11,1.0811,0.2414,0.0,0.0122,0.2434,Genuine
