product_id,product_name,category,platform,mrp,selling_price,computed_discount,fraud_verdict,label_encoded,split,mrp_inflation_ratio,discount_permanence_score,pre_sale_spike,price_volatility,mrp_volatility,days_listed,discount_vs_category,seller_trust_score,discount_round_flag,charm_pricing_flag,listing_age_anomaly,discount_gap_abs,high_discount_low_trust,price_drop_magnitude,cross_platform_mrp_gap,cross_platform_price_gap,fraud_score_composite,platform_encoded,category_freq_encoded,mrp_inflation_ratio_scaled,discount_permanence_score_scaled,pre_sale_spike_scaled,price_volatility_scaled,mrp_volatility_scaled,days_listed_scaled,discount_vs_category_scaled,seller_trust_score_scaled,discount_round_flag_scaled,charm_pricing_flag_scaled,listing_age_anomaly_scaled,discount_gap_abs_scaled,high_discount_low_trust_scaled,price_drop_magnitude_scaled,cross_platform_mrp_gap_scaled,cross_platform_price_gap_scaled,fraud_score_composite_scaled,platform_encoded_scaled,category_freq_encoded_scaled
0,SG_Football_0,Sports,amazon,4679.84,3824.62,18.27,Genuine,1,val,1.2666,0.6154,-0.0423,0.0169,0.0885,12,-7.24,0.8846,0,0,0,0.0,0,-0.0351,0.0,0.0,1.85,1,0.200667,0.0739840784967139,0.6154,0.1754881616121209,0.06556016597510372,0.11689884918231373,0.10344827586206895,0.31121642969984203,0.8809495965384166,0.0,0.0,0.0,0.0,0.0,0.3435019841269842,0.0,0.0,0.19351464435146443,1.0,0.3428571428571434
1,Prestige_Mixer_1,Home,amazon,1907.63,686.61,64.01,Fake,0,train,2.7907,0.4722,1.0396,0.024,0.4529,35,26.21,0.2816,0,0,0,0.0,1,-0.0045,0.0,0.0,6.16,1,0.223667,0.4266870313801723,0.4722,0.4459834487586569,0.12448132780082988,0.668685645063598,0.896551724137931,0.6886707289550891,0.17576891591626712,0.0,0.0,0.0,0.0,1.0,0.4193948412698413,0.0,0.0,0.6443514644351465,1.0,1.0
2,Prestige_Cookware_2,Home,amazon,764.29,664.93,13.0,Genuine,1,train,1.17,0.1579,0.0373,0.0231,0.4354,18,-24.8,0.7748,0,0,0,0.0,0,-0.0179,0.0,0.0,1.13,1,0.223667,0.051629177080440625,0.1579,0.19538965422406682,0.11701244813278006,0.6421865536038764,0.3103448275862069,0.11306702775897087,0.752543562156473,0.0,0.0,0.0,0.0,0.0,0.3861607142857143,0.0,0.0,0.11820083682008367,1.0,1.0
3,Nivia_Football_3,Sports,amazon,5449.18,4024.5,26.14,Suspicious,2,test,1.3455,0.9474,-0.3409,0.0312,0.4598,18,0.63,0.7124,0,0,0,0.0,0,0.0063,0.0,0.0,3.19,1,0.200667,0.092242895491993,0.9474,0.10083256244218318,0.1842323651452282,0.6791338582677166,0.3103448275862069,0.4000225682690138,0.6795696409776635,0.0,0.0,0.0,0.0,0.0,0.4461805555555556,0.0,0.0,0.33368200836820083,1.0,0.3428571428571434
4,LG_Smartphone_4,Electronics,amazon,3770.83,2654.94,29.59,Genuine,1,train,1.4505,0.8485,-0.4922,0.0211,0.4851,32,0.22,0.6708,1,0,0,0.0,0,-0.0212,0.0,0.0,3.7,1,0.191,0.11654170137924652,0.8485,0.06300472535440158,0.1004149377593361,0.7174439733494852,0.7931034482758621,0.39539607312119157,0.6309203601917904,1.0,0.0,0.0,0.0,0.0,0.3779761904761905,0.0,0.0,0.38702928870292885,1.0,0.0666571428571423
5,Prestige_Table_5,Home,amazon,5025.63,2770.54,44.87,Suspicious,2,test,1.754,1.0,-0.3076,0.0387,0.3872,31,7.07,0.6189,1,0,0,0.0,0,0.033,0.0,0.0,4.31,1,0.223667,0.1867768212533556,1.0,0.10915818686401481,0.24647302904564314,0.5692004845548153,0.7586206896551724,0.4726923944933423,0.5702257045959537,1.0,0.0,0.0,0.0,0.0,0.5124007936507937,0.0,0.0,0.4508368200836819,1.0,1.0
6,LG_Headphones_6,Electronics,amazon,3520.07,2748.32,21.92,Suspicious,2,val,1.2303,0.75,-0.1155,0.0309,0.1419,15,-7.45,0.8742,0,0,0,8.91,0,0.0395,0.0,0.0,2.46,1,0.191,0.06558363417569196,0.75,0.1571867890091757,0.1817427385892116,0.19775893397940644,0.20689655172413796,0.3088467614533965,0.8687872763419482,0.0,0.0,0.0,0.4470647265429002,0.0,0.5285218253968255,0.0,0.0,0.25732217573221755,1.0,0.0666571428571423
7,Maybelline_Facewash_7,Beauty,amazon,1303.02,996.1,23.55,Genuine,1,val,1.3488,0.4444,-0.4898,0.017,0.4869,17,-9.52,0.7006,0,0,0,0.0,0,-0.0311,0.0,0.0,2.02,1,0.188667,0.09300657224844955,0.4444,0.06360477035777683,0.06639004149377595,0.7201695941853422,0.2758620689655172,0.285488603024148,0.6657700853701322,0.0,0.0,0.0,0.0,0.0,0.35342261904761907,0.0,0.0,0.2112970711297071,1.0,0.0
8,Puma_T-Shirt_8,Fashion,amazon,7117.72,4127.38,42.01,Suspicious,2,train,1.7711,0.5769,0.161,0.0211,0.3696,25,-2.84,0.6208,0,0,0,0.0,0,-0.027,0.0,0.0,2.99,1,0.196,0.190734055354994,0.5769,0.226316973773033,0.1004149377593361,0.5425499697153241,0.5517241379310345,0.3608666215301286,0.5724476669395393,0.0,0.0,0.0,0.0,0.0,0.3635912698412699,0.0,0.0,0.3127615062761506,1.0,0.20951428571428554
9,SG_Football_9,Sports,amazon,917.77,676.39,26.3,Suspicious,2,train,1.2701,1.0,-0.4444,0.0664,0.4304,34,0.79,0.7468,0,0,0,0.0,0,0.0639,0.0,0.0,3.19,1,0.200667,0.0747940386929557,1.0,0.07495562167162537,0.4763485477178423,0.6346153846153847,0.8620689655172413,0.4018280297901151,0.7197988539352123,0.0,0.0,0.0,0.0,0.0,0.5890376984126984,0.0,0.0,0.33368200836820083,1.0,0.3428571428571434
10,Lakme_Perfume_10,Beauty,amazon,2522.07,1528.99,39.38,Suspicious,2,train,1.5275,0.9677,-0.1718,0.0451,0.4399,30,6.31,0.6658,0,0,0,0.0,0,0.074,0.0,0.0,3.43,1,0.188667,0.13436082569656582,0.9677,0.14311073330499788,0.29958506224066384,0.6490006056935191,0.7241379310344829,0.46411645226811105,0.6250730908665653,0.0,0.0,0.0,0.0,0.0,0.6140873015873016,0.0,0.0,0.3587866108786611,1.0,0.0
11,Adidas_Jacket_11,Fashion,amazon,4081.85,2975.0,27.12,Genuine,1,val,1.3773,0.4516,-0.2132,0.029,0.397,30,-17.73,0.728,0,0,0,0.0,0,-0.0038,0.0,0.0,1.96,1,0.196,0.09960196241784691,0.4516,0.13275995699677476,0.16597510373443983,0.5840399757722593,0.7241379310344829,0.192845858722636,0.6978131212723658,0.0,0.0,0.0,0.0,0.0,0.4211309523809524,0.0,0.0,0.20502092050209203,1.0,0.20951428571428554
12,Puma_Jeans_12,Fashion,amazon,9791.47,4426.02,54.8,Suspicious,2,train,2.1778,1.0,-0.4009,0.0265,0.2991,31,9.95,0.527,1,0,0,0.0,0,0.0156,0.0,0.0,4.71,1,0.196,0.2848514301582894,1.0,0.08583143735780184,0.14522821576763484,0.43579648697758927,0.7586206896551724,0.5051907018731663,0.462752894398316,1.0,0.0,0.0,0.0,0.0,0.46924603174603174,0.0,0.0,0.4926778242677824,1.0,0.20951428571428554
13,Adidas_Shoes_13,Fashion,amazon,2122.74,581.59,72.6,Fake,0,val,3.8433,1.0,-0.0631,0.0254,0.3565,13,27.75,0.2574,0,0,0,0.0,1,-0.053,0.0,0.0,6.77,1,0.196,0.6702767749699159,1.0,0.17028777158286873,0.13609958506224065,0.5227135069654755,0.13793103448275862,0.7060482960956894,0.14746813238217757,0.0,0.0,0.0,0.0,1.0,0.2991071428571429,0.0,0.0,0.7081589958158995,1.0,0.20951428571428554
14,Apple_Laptop_14,Electronics,amazon,7658.11,3078.2,59.8,Fake,0,train,2.5628,0.1,1.3969,0.0251,0.4663,19,30.43,0.3446,1,0,0,5.77,1,-0.0301,0.0,0.0,5.78,1,0.191,0.37394705174488574,0.1,0.5353151486361478,0.13360995850622406,0.6889763779527559,0.3448275862068965,0.7362897765741367,0.24944450941410365,1.0,0.0,0.0,0.2895132965378826,1.0,0.3559027777777778,0.0,0.0,0.604602510460251,1.0,0.0666571428571423
15,Nivia_Dumbbells_15,Sports,amazon,746.93,363.04,51.4,Fake,0,train,2.0252,1.0,-0.4754,0.019,0.4152,17,25.89,0.5264,0,0,0,0.0,0,0.0157,0.0,0.0,4.07,1,0.200667,0.24953716560214756,1.0,0.06720504037802835,0.0829875518672199,0.6115990308903695,0.2758620689655172,0.6850598059128865,0.46205122207928895,0.0,0.0,0.0,0.0,0.0,0.46949404761904767,0.0,0.0,0.42573221757322177,1.0,0.3428571428571434
16,Prestige_Cookware_16,Home,amazon,4913.5,3180.98,35.26,Fake,0,test,1.559,1.0,-0.0053,0.0382,0.4333,31,-2.54,0.659,1,0,0,17.12,0,-0.0093,0.0,0.0,4.64,1,0.223667,0.14165046746274185,1.0,0.18473885541415608,0.2423236514522821,0.63900666262871,0.7586206896551724,0.3642518618821936,0.6171208045842592,1.0,0.0,0.0,0.8590065228299048,0.0,0.4074900793650794,0.0,0.0,0.4853556485355648,1.0,1.0
17,Nivia_Dumbbells_17,Sports,amazon,1671.94,1529.38,8.53,Genuine,1,test,1.1373,0.1,0.059,0.026,0.3582,9,-16.98,0.8155,0,0,0,0.0,0,-0.0403,0.0,0.0,0.9,1,0.200667,0.04406183467555308,0.1,0.20081506112958472,0.14107883817427383,0.5252877044215628,0.0,0.20130895960279846,0.8001403344638054,0.0,0.0,0.0,0.0,0.0,0.3306051587301587,0.0,0.0,0.09414225941422594,1.0,0.3428571428571434
18,Sony_Headphones_18,Electronics,amazon,6133.14,4191.31,31.66,Suspicious,2,test,1.5523,0.3478,0.1504,0.0287,0.3275,22,2.29,0.7033,0,0,0,0.0,0,-0.0608,0.0,0.0,2.11,1,0.191,0.14009997222993614,0.3478,0.22366677500812562,0.1634854771784232,0.4788007268322229,0.44827586206896547,0.41875423155044006,0.6689276108057538,0.0,0.0,0.0,0.0,0.0,0.27976190476190477,0.0,0.0,0.2207112970711297,1.0,0.0666571428571423
19,Puma_T-Shirt_19,Fashion,amazon,3454.78,1958.85,43.3,Suspicious,2,train,1.5903,1.0,-0.0965,0.0598,0.2895,27,-1.55,0.7071,0,0,0,0.0,0,0.0983,0.0,0.0,3.4,1,0.196,0.14889382578913268,1.0,0.16193714528589645,0.4215767634854771,0.421259842519685,0.6206896551724137,0.37542315504400814,0.6733715354929247,0.0,0.0,0.0,0.0,0.0,0.6743551587301587,0.0,0.0,0.35564853556485354,1.0,0.20951428571428554
20,Philips_Chair_20,Home,amazon,12386.79,4039.26,67.39,Fake,0,train,3.1487,0.375,1.7088,0.0289,0.467,31,29.59,0.2132,0,0,0,0.0,1,-0.0268,0.0,0.0,6.37,1,0.223667,0.5095343885957605,0.375,0.61329599719979,0.1651452282157676,0.6900363416111448,0.7586206896551724,0.7268111035883548,0.09577827154718746,0.0,0.0,0.0,0.0,1.0,0.3640873015873016,0.0,0.0,0.6663179916317992,1.0,1.0
21,Prestige_Chair_21,Home,amazon,1360.92,804.89,40.86,Suspicious,2,val,1.7321,1.0,-0.265,0.0212,0.3051,15,3.06,0.6583,0,0,0,0.0,0,-0.0244,0.0,0.0,3.59,1,0.223667,0.1817087845968713,1.0,0.11980898567392555,0.1012448132780083,0.4448818897637795,0.20689655172413796,0.42744301512074023,0.6163021868787276,0.0,0.0,0.0,0.0,0.0,0.37003968253968256,0.0,0.0,0.37552301255230125,1.0,1.0
22,Puma_Jeans_22,Fashion,amazon,3261.65,2687.04,17.62,Genuine,1,train,1.2254,0.1176,0.0874,0.0193,0.5078,16,-27.23,0.7293,0,0,0,0.0,0,-0.0096,0.0,0.0,1.27,1,0.196,0.06444968990095346,0.1176,0.20791559366952522,0.08547717842323652,0.7518170805572382,0.24137931034482757,0.08564658090724442,0.6993334112969243,0.0,0.0,0.0,0.0,0.0,0.40674603174603174,0.0,0.0,0.13284518828451883,1.0,0.20951428571428554
