product_id,product_name,category,platform,mrp,selling_price,computed_discount,fraud_verdict,fraud_score_composite,mrp_inflation_ratio,discount_permanence_score,pre_sale_spike,seller_trust_score,discount_round_flag,charm_pricing_flag,cross_platform_mrp_gap,price_drop_magnitude
0,SG_Football_0,Sports,amazon,4679.84,3824.62,18.27,Genuine,1.85,1.2666,0.6154,-0.0423,0.8846,0,0,0.0,-0.0351
1,Prestige_Mixer_1,Home,amazon,1907.63,686.61,64.01,Fake,6.16,2.7907,0.4722,1.0396,0.2816,0,0,0.0,-0.0045
2,Prestige_Cookware_2,Home,amazon,764.29,664.93,13.0,Genuine,1.13,1.17,0.1579,0.0373,0.7748,0,0,0.0,-0.0179
3,Nivia_Football_3,Sports,amazon,5449.18,4024.5,26.14,Suspicious,3.19,1.3455,0.9474,-0.3409,0.7124,0,0,0.0,0.0063
4,LG_Smartphone_4,Electronics,amazon,3770.83,2654.94,29.59,Genuine,3.7,1.4505,0.8485,-0.4922,0.6708,1,0,0.0,-0.0212
5,Prestige_Table_5,Home,amazon,5025.63,2770.54,44.87,Suspicious,4.31,1.754,1.0,-0.3076,0.6189,1,0,0.0,0.033
6,LG_Headphones_6,Electronics,amazon,3520.07,2748.32,21.92,Suspicious,2.46,1.2303,0.75,-0.1155,0.8742,0,0,0.0,0.0395
7,Maybelline_Facewash_7,Beauty,amazon,1303.02,996.1,23.55,Genuine,2.02,1.3488,0.4444,-0.4898,0.7006,0,0,0.0,-0.0311
8,Puma_T-Shirt_8,Fashion,amazon,7117.72,4127.38,42.01,Suspicious,2.99,1.7711,0.5769,0.161,0.6208,0,0,0.0,-0.027
9,SG_Football_9,Sports,amazon,917.77,676.39,26.3,Suspicious,3.19,1.2701,1.0,-0.4444,0.7468,0,0,0.0,0.0639
10,Lakme_Perfume_10,Beauty,amazon,2522.07,1528.99,39.38,Suspicious,3.43,1.5275,0.9677,-0.1718,0.6658,0,0,0.0,0.074
11,Adidas_Jacket_11,Fashion,amazon,4081.85,2975.0,27.12,Genuine,1.96,1.3773,0.4516,-0.2132,0.728,0,0,0.0,-0.0038
12,Puma_Jeans_12,Fashion,amazon,9791.47,4426.02,54.8,Suspicious,4.71,2.1778,1.0,-0.4009,0.527,1,0,0.0,0.0156
13,Adidas_Shoes_13,Fashion,amazon,2122.74,581.59,72.6,Fake,6.77,3.8433,1.0,-0.0631,0.2574,0,0,0.0,-0.053
14,Apple_Laptop_14,Electronics,amazon,7658.11,3078.2,59.8,Fake,5.78,2.5628,0.1,1.3969,0.3446,1,0,0.0,-0.0301
15,Nivia_Dumbbells_15,Sports,amazon,746.93,363.04,51.4,Fake,4.07,2.0252,1.0,-0.4754,0.5264,0,0,0.0,0.0157
16,Prestige_Cookware_16,Home,amazon,4913.5,3180.98,35.26,Fake,4.64,1.559,1.0,-0.0053,0.659,1,0,0.0,-0.0093
17,Nivia_Dumbbells_17,Sports,amazon,1671.94,1529.38,8.53,Genuine,0.9,1.1373,0.1,0.059,0.8155,0,0,0.0,-0.0403
18,Sony_Headphones_18,Electronics,amazon,6133.14,4191.31,31.66,Suspicious,2.11,1.5523,0.3478,0.1504,0.7033,0,0,0.0,-0.0608
19,Puma_T-Shirt_19,Fashion,amazon,3454.78,1958.85,43.3,Suspicious,3.4,1.5903,1.0,-0.0965,0.7071,0,0,0.0,0.0983
20,Philips_Chair_20,Home,amazon,12386.79,4039.26,67.39,Fake,6.37,3.1487,0.375,1.7088,0.2132,0,0,0.0,-0.0268
21,Prestige_Chair_21,Home,amazon,1360.92,804.89,40.86,Suspicious,3.59,1.7321,1.0,-0.265,0.6583,0,0,0.0,-0.0244
22,Puma_Jeans_22,Fashion,amazon,3261.65,2687.04,17.62,Genuine,1.27,1.2254,0.1176,0.0874,0.7293,0,0,0.0,-0.0096
23,Lakme_Facewash_23,Beauty,amazon,2483.35,1437.22,42.13,Suspicious,3.34,1.718,0.7368,-0.015,0.6132,0,0,0.0,0.0057
24,Puma_T-Shirt_24,Fashion,amazon,6831.07,4191.25,38.64,Suspicious,1.88,1.5728,0.1613,0.2403,0.6862,0,0,0.0,0.035
25,Lakme_Lipstick_25,Beauty,amazon,5232.79,3177.36,39.28,Suspicious,3.12,1.4868,0.8636,-0.6151,0.68,0,0,0.0,0.0972
26,LG_Smartphone_26,Electronics,amazon,748.95,665.06,11.2,Genuine,1.45,1.1407,0.2609,-0.1104,0.7243,0,0,0.0,-0.0129
27,Samsung_Smartwatch_27,Electronics,amazon,6130.21,4332.16,29.33,Genuine,2.81,1.3702,0.8205,-0.4948,0.7404,0,0,0.0,0.0317
28,Nivia_Cricket Bat_28,Sports,amazon,18799.24,4788.64,74.53,Fake,9.41,4.1325,0.6774,2.2994,0.1772,1,1,0.0,-0.0527
29,Nivia_Dumbbells_29,Sports,amazon,5353.27,4067.08,24.03,Suspicious,2.18,1.3224,0.5238,-0.1063,0.7602,0,0,0.0,-0.0047
30,Philips_Cookware_30,Home,amazon,1004.05,511.63,49.04,Suspicious,3.23,1.9185,0.64,0.1691,0.61,0,0,0.0,0.0224
31,LG_Smartwatch_31,Electronics,amazon,1426.19,929.12,34.85,Genuine,2.09,1.5301,0.2414,0.0156,0.7436,1,0,0.0,0.0032
32,Nivia_Cricket Bat_32,Sports,amazon,9565.02,2307.53,75.88,Fake,5.91,3.6471,0.6667,-0.0927,0.1987,0,0,0.0,0.1202
33,Philips_Chair_33,Home,amazon,5675.39,2449.2,56.85,Fake,4.7,2.3399,0.875,-0.2385,0.4474,0,0,0.0,-0.0098
34,LG_Headphones_34,Electronics,amazon,5062.94,3481.38,31.24,Suspicious,3.38,1.2789,1.0,-0.0785,0.6826,0,0,0.0,0.1206
35,SG_Football_35,Sports,amazon,6030.43,4200.91,30.34,Suspicious,3.61,1.379,0.8571,-0.4297,0.7,1,0,0.0,0.0394
36,Sony_Smartphone_36,Electronics,amazon,3927.41,2749.3,30.0,Suspicious,3.65,1.2973,0.9118,-0.0553,0.7237,1,0,0.0,0.0918
37,Nike_T-Shirt_37,Fashion,amazon,8409.87,3865.2,54.04,Suspicious,4.19,2.2587,1.0,0.012,0.5156,0,0,0.0,-0.0381
38,Philips_Mixer_38,Home,amazon,16148.9,5172.34,67.97,Fake,7.06,3.2165,0.9375,0.689,0.2726,0,0,0.0,-0.0302
39,Nivia_Football_39,Sports,amazon,1033.11,872.3,15.57,Genuine,1.39,1.1517,0.2821,-0.2765,0.7622,0,0,0.0,0.0275
40,Prestige_Mixer_40,Home,amazon,5420.43,3046.03,43.8,Suspicious,3.73,1.7413,1.0,0.0689,0.6531,0,0,0.0,0.0215
41,Nike_Jeans_41,Fashion,amazon,11234.44,3332.04,70.34,Fake,7.13,3.3596,1.0,0.1983,0.2616,1,0,0.0,0.0036
42,Sony_Smartphone_42,Electronics,amazon,3084.55,2220.01,28.03,Genuine,2.08,1.3818,0.3939,0.1771,0.75,0,0,0.0,0.0055
43,Adidas_Shoes_43,Fashion,amazon,1690.54,654.42,61.29,Suspicious,5.37,2.5868,1.0,0.1222,0.42,0,0,0.0,-0.0014
44,LG_Smartphone_44,Electronics,amazon,2973.08,2054.13,30.91,Suspicious,3.22,1.5017,0.8649,-0.0155,0.6494,0,0,0.0,-0.0376
45,Lakme_Lipstick_45,Beauty,amazon,13834.78,4125.95,70.18,Fake,8.47,3.3668,0.75,1.3139,0.2329,1,0,0.0,-0.0041
46,Adidas_T-Shirt_46,Fashion,amazon,687.55,294.07,57.23,Fake,4.22,2.2266,1.0,-0.3895,0.4961,0,0,0.0,0.0477
47,Prestige_Chair_47,Home,amazon,3062.2,1595.42,47.9,Suspicious,2.78,1.8752,0.4,0.1976,0.5804,0,0,0.0,0.023
48,Lakme_Facewash_48,Beauty,amazon,5487.6,3200.58,41.68,Genuine,2.67,1.6411,0.4595,0.1487,0.6152,0,0,0.0,0.0429
49,Nike_T-Shirt_49,Fashion,amazon,2739.61,2411.93,11.96,Genuine,1.17,1.2087,0.1176,-0.422,0.8352,0,0,0.0,-0.0641
50,Maybelline_Perfume_50,Beauty,amazon,2281.96,1107.22,51.48,Suspicious,3.7,1.9615,0.9444,-0.1729,0.5995,0,0,0.0,0.0483
51,Apple_Laptop_51,Electronics,amazon,5559.36,1777.91,68.02,Fake,6.66,3.1161,0.6,0.8862,0.2144,0,0,0.0,0.0035
52,Maybelline_Perfume_52,Beauty,amazon,4604.76,3197.57,30.56,Genuine,1.9,1.3926,0.4444,-0.0448,0.7447,0,0,0.0,0.033
53,Samsung_Laptop_53,Electronics,amazon,13503.36,3104.63,77.01,Fake,8.07,4.3277,0.6129,2.587,0.1744,0,0,0.0,0.005
54,Nivia_Dumbbells_54,Sports,amazon,1721.14,1622.26,5.75,Genuine,0.36,0.9705,0.0385,-0.0618,0.8959,0,0,0.0,0.0853
55,Philips_Cookware_55,Home,amazon,4018.18,2414.06,39.92,Suspicious,3.41,1.6161,0.4595,0.264,0.6326,1,0,0.0,0.0291
56,Nike_Shoes_56,Fashion,amazon,5367.56,2372.31,55.8,Fake,4.71,2.3144,1.0,0.2336,0.4819,0,0,0.0,-0.0229
57,Nike_Jacket_57,Fashion,amazon,2568.34,1368.96,46.7,Suspicious,3.76,1.829,1.0,-0.0666,0.6111,0,0,0.0,0.0251
58,Lakme_Lipstick_58,Beauty,amazon,3152.95,1317.03,58.23,Fake,5.66,2.3714,0.8571,0.55,0.4449,0,0,0.0,0.0094
59,SG_Football_59,Sports,amazon,17678.71,4321.9,75.55,Fake,8.0,3.9728,0.6429,2.2504,0.2098,0,0,0.0,0.0288
60,Prestige_Chair_60,Home,amazon,8712.06,4383.22,49.69,Fake,4.87,2.0573,1.0,0.2161,0.5899,1,0,0.0,-0.0351
61,Sony_Headphones_61,Electronics,amazon,1002.08,348.5,65.22,Fake,7.63,2.667,0.92,1.0325,0.3355,1,0,0.0,0.0725
62,Prestige_Cookware_62,Home,amazon,3395.14,2563.31,24.5,Genuine,1.97,1.4746,0.2,0.2884,0.7078,0,0,0.0,-0.1133
63,Puma_T-Shirt_63,Fashion,amazon,4293.58,2006.94,53.26,Suspicious,3.81,1.9285,1.0,-0.0018,0.6037,0,0,0.0,0.0985
64,SG_Cricket Bat_64,Sports,amazon,11106.0,4033.15,63.68,Fake,5.18,2.8903,0.7097,-0.1749,0.2091,0,0,0.0,-0.0496
65,Lakme_Lipstick_65,Beauty,amazon,2450.88,866.67,64.64,Fake,6.12,2.8112,0.9444,-0.2417,0.2745,1,0,0.0,0.0059
66,Prestige_Cookware_66,Home,amazon,5524.89,3760.84,31.93,Genuine,2.79,1.4898,0.7083,0.1195,0.7406,0,0,0.0,-0.0142
67,Nivia_Dumbbells_67,Sports,amazon,2888.15,2456.61,14.94,Genuine,0.66,1.2001,0.0769,0.1026,0.9104,0,0,0.0,-0.0208
68,Prestige_Table_68,Home,amazon,8740.76,3671.13,58.0,Fake,5.02,2.3584,0.9677,-0.458,0.4164,0,0,0.0,0.0095
69,SG_Cricket Bat_69,Sports,amazon,11202.99,5372.21,52.05,Fake,4.05,2.1736,0.9286,-0.2888,0.49,0,0,0.0,-0.0423
70,Sony_Smartwatch_70,Electronics,amazon,14098.4,3327.85,76.4,Fake,8.35,4.0473,0.7857,2.3468,0.2203,0,0,0.0,0.0447
71,Maybelline_Lipstick_71,Beauty,amazon,4801.52,3851.95,19.78,Genuine,2.59,1.3158,0.5484,-0.1845,0.7884,1,0,0.0,-0.0556
72,Lakme_Perfume_72,Beauty,amazon,8544.71,3394.52,60.27,Fake,5.77,2.5341,0.8261,-0.4683,0.3241,1,0,0.0,-0.0067
73,Adidas_Jeans_73,Fashion,amazon,6570.47,3037.59,53.77,Fake,4.33,2.1234,1.0,0.1915,0.5655,0,0,0.0,0.0183
74,Prestige_Table_74,Home,amazon,1264.32,802.76,36.51,Genuine,2.97,1.4945,0.7368,0.1929,0.7484,0,0,0.0,0.0511
75,Prestige_Chair_75,Home,amazon,4585.18,3384.44,26.19,Genuine,2.93,1.3297,0.9167,0.0147,0.7818,0,0,0.0,0.0185
76,Nivia_Cricket Bat_76,Sports,amazon,2857.73,989.45,65.38,Fake,5.97,2.8773,0.125,1.6471,0.2748,1,0,0.0,0.0038
77,Samsung_Smartphone_77,Electronics,amazon,7771.69,3560.99,54.18,Fake,4.63,2.1473,0.625,0.5111,0.5029,0,0,0.0,0.0161
78,Philips_Chair_78,Home,amazon,4617.13,1314.34,71.53,Fake,7.1,3.4959,0.8889,0.559,0.2528,0,0,0.0,0.0048
79,SG_Football_79,Sports,amazon,5748.53,3809.05,33.74,Suspicious,3.15,1.4349,0.9444,-0.3617,0.7293,0,0,0.0,0.0492
80,SG_Dumbbells_80,Sports,amazon,3514.12,2401.58,31.66,Fake,3.75,1.4863,0.9375,-0.0073,0.6449,0,0,0.0,-0.0158
81,Adidas_Jacket_81,Fashion,amazon,5519.53,4319.02,21.75,Genuine,2.9,1.2154,1.0,-0.3493,0.8361,0,0,0.0,0.049
